subject,description,searched,problem
cant call the .hour method,i can't call the .hour method,.hour,I'm trying to format the time into a string that is easier to read in a csv.
destroy controller,"created a controller with the command: 

rails generate controller StaticPages home help--no-test-framework

But I typo-ed the space between 'help' and '--no-test-framework' so I want to destroy the controller and then re-do it properly.",http://guides.rubyonrails.org/command_line.html#rails-destroy,"I'm sure I have the syntax incorrect and I have tried:

rails destroy controller StaticPages help--no-test-framework

and 

rails destroy controller help--no-test-framework"
state_machine guidance (Sam!),need help thinking it through,all i can on SO and google,need a clear vision
refactoring javascript kata,code is really ugly,"learnjquery, stack, codeacademy","cant get the js working without using multiple if statments, havent been able to get an ""and"" connection to work "
Simple form error message/validation,I can't figure out why my simple form for my food inventory kata isn't giving error messages,simple_form docs; compared this form to working forms in other projects,I really can't see what's different between my working form and the one that doesn't work. I tried retyping it from scratch but unsurprisingly that didn't help.
preventing nil for a calculated attribute if no info submitted ,Breakable toy: I have an input form and upon submit calculate 2 additional attributes. I get an error saying can't convert nil to a float if I submit an empty form. How should I prevent unexpected nils?,as always,"Tried changing @health_profile.complete in controller to 
@health_profile.try(:complete) 
@health_profile.save

didn't work."
Second assessment,Do we need to valid the format of the postal code? For example do we need to specify that it can only be numbers and should only be a string of 5 numbers?,assessment description,"It doesn't specify in the description that we need to validate the format of the postal code, so I just want to clarify the requirements."
Associations,"Can a building have multiple owners?
",inside of the microwave,I couldn't find any answers in the microwave
Phase III of assessment - tenants,"Does a building have to have an owner to have tenants? Or is ""owner"" not really the same as the owner in the model and you just want a way to look up a building and see its tenants?",I read it a couple of times. ,Just not 100% sure what you're asking.
Breakable Toy  Devise Problem,"The Error: 
Failure/Error: click_link 'Sign Up'
     NoMethodError:
       undefined method `<<' for {}:ActionController::Parameters
     # ./app/controllers/application_controller.rb:11:in `configure_permitted_parameters'
     # ./spec/features/sign_up_spec.rb:19:in `block (2 levels) in <top (required)>'

class ApplicationController < ActionController::Base
  # Prevent CSRF attacks by raising an exception.
  # For APIs, you may want to use :null_session instead.
  protect_from_forgery with: :exception

  before_filter :configure_permitted_parameters, if: :devise_controller?

  protected

  def configure_permitted_parameters
    devise_parameter_sanitizer.for(:sign_up) << [:first_name, :last_name]
  end
end


scenario 'specifying valid and required information' do
    visit root_path
    click_link 'Sign Up'
    fill_in 'First Name', with: 'Jon'
    fill_in 'Last Name', with: 'Smith'
    fill_in 'Email', with: 'user@example.com'
    fill_in 'user_password', with: 'password'
    fill_in 'Password Confirmation', with: 'password'
    click_button 'Sign Up'

    expect(page).to have_content(""You're in!"")
    expect(page).to have_content(""Sign Out"")
  end

",Vimeo,Its thinking its a hash not an array?
"Breakable Toy, controllers and routes","So for my breakable toy I have the following relationships setup. A user has_many nonprofits, nonprofit belongs_to user, nonprofit has_many opportunities, opportunity belongs_to nonprofit. Right now, a user can create a nonprofit and it is assigned to them (the relationship is working). I am working on the opportunity controller now but I am not sure how I should create the relationship. Basically, in my application the goal is to have a user be able to make as many nonprofits as they want. When they visit a nonprofit page they have the option to create an opportunity. Here lies the problem, how do I A.) make sure that only the user who owns the nonprofit has the ability to edit the nonprofit, and/or create the opportunity. Also, how should I create the relationship between that nonprofit they are currently looking at with the opportunity.","Rails Routes, Controllers documentation","I think I probably A.) need to have nested routes for user and nonprofit, and also for nonprotit and opportunities. B.) I need to do some validation on the views to show certain buttons in certain cases. C.) Need to create the correct corresponding relation in the opportunity controller.

Would it be possible to have a quick screenhero session? Dan was going to but he got pulled into a meeting and had to head home."
Foreign key,Curious why the Octotracker vid did not use foreign key,Apollo,Not sure.
net::http,having trouble posting to Okay Cupid using ruby,"Stack Overflow, Ruby Docs",Syntax maybe
